escritorio,cultura,area_ha,producao_t
TOTAL_DF,Abacate,0.0,16.58
TOTAL_DF,Alface,0.0,7.84
TOTAL_DF,Banana,0.0,15.41
TOTAL_DF,Batata,0.0,3.04
TOTAL_DF,Cebola,0.0,10.7
TOTAL_DF,Chuchu,0.0,7.79
TOTAL_DF,Couve,0.0,4.67
TOTAL_DF,Goiaba,0.0,17.56
TOTAL_DF,Lichia,0.0,0.98
TOTAL_DF,Limão,0.0,16.63
TOTAL_DF,Mandioca,0.0,7.8
TOTAL_DF,Manga,0.0,2.75
TOTAL_DF,Maracujá,0.0,9.77
TOTAL_DF,Morango,0.0,2.47
TOTAL_DF,Pimentão,0.0,4.86
TOTAL_DF,Repolho,0.0,6.61
TOTAL_DF,Tangerina,0.0,8.17
TOTAL_DF,Tomate,0.0,12.98
TOTAL_DF,Uva,0.0,2.52
VARGEM BONITA,Abacate,4.25,35.27
VARGEM BONITA,Banana,6.67,28.51
VARGEM BONITA,Limão,3.15,6.91
VARGEM BONITA,Manga,8.65,5.46
VARGEM BONITA,Maracujá,2.02,1.11
VARGEM BONITA,Pitaia,15.3,3.99
VARGEM BONITA,Tangerina,2.86,5.27
VARGEM BONITA,Uva,10.25,4.56
